idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 23,0.264981015828046,0.6440932873258715,0.7506210162832392,0.7798781152447427,0.7999979805024621,0.8208530912297954,0.8226653946179621,0.8297624703543771,0.8375159088506212,0.8409268245796673,0.8476277277945998,0.8389046630317539,0.847233797814637,0.8404110831746493,0.8506541285257387,0.8435791943409894,0.8496399456942811,0.8505475126292221,0.8443061723674475,0.8454582269886138,0.8500571863532711,0.8457181445797234,0.853234637607384,0.8521203587457862,0.8463254140133601
k = 25,0.2624406177418073,0.647928485804558,0.7539020107401804,0.7865516538079628,0.8006356732141379,0.8177982420374329,0.8241836210912956,0.8300474866786287,0.8385377960120908,0.8324421529234213,0.8447614544858396,0.8435239814728395,0.8368313391928514,0.8430835109966545,0.8465291834113282,0.8419395329490905,0.8463635500444816,0.8492413955329908,0.8501109407372412,0.8490906463258991,0.8484855553324138,0.8516196268616317,0.8492945914298737,0.8450997897651208,0.8496218166703148
k = 27,0.26333524623675875,0.648519115075862,0.7503030870925173,0.7844798577833724,0.805022132527424,0.8185565135461339,0.8249177790344431,0.8262554551424172,0.8301346459823536,0.8352314487965351,0.8355028199538159,0.8422421831985758,0.8405432351222263,0.8409109680705622,0.8430780650994567,0.8427613377605843,0.8436612972125952,0.8407354379051795,0.8409808957662024,0.8459656603598689,0.8466192204826373,0.8498782355690218,0.848371101861294,0.8431217225903197,0.8453853675507883
k = 29,0.27248195045030393,0.6441909803919164,0.7471348348099496,0.7786218110642525,0.8049364103937041,0.820439318559265,0.8188061280813402,0.8299021434154279,0.8336052687708373,0.8347088314157741,0.8389456688770469,0.8409609110688459,0.8403392955177427,0.8399133045996555,0.8463555432959943,0.842641821219128,0.8436771650319844,0.8425859727235491,0.8477944679976895,0.8427201375259106,0.8398535206784077,0.8459414966143021,0.8479482305266736,0.8417891171725186,0.8504228359111721
k = 31,0.26783454320205824,0.6445597575285016,0.7469349672462124,0.7869240054031785,0.8034476714583827,0.8164524761309849,0.8263973087175914,0.8315778160290346,0.83250266049273,0.8363370052833027,0.8456533345380347,0.8381333149754037,0.8378141670309571,0.8449860041207968,0.843110653114962,0.8445283188344543,0.846147053395349,0.8492718480007856,0.841346070701619,0.8465951639178,0.8446167207518018,0.8487661639584398,0.8440854197400134,0.8486967449901313,0.8435383013239296
k = 33,0.2674062466385645,0.6493258113614573,0.7498585027059264,0.7838404694956669,0.8008468653986667,0.8114629345668225,0.8168376436476491,0.8258980668043137,0.8332878550237919,0.8325451485862441,0.836960144983186,0.8401800547800242,0.8401381377306014,0.8440733036381791,0.8429242981850065,0.8435747368396761,0.8449876964500934,0.8475999689919679,0.8436275786086123,0.8434081936241741,0.8488147285025672,0.8465722431847575,0.8432042386785217,0.8439762851608524,0.8472828142298766
k = 35,0.2647186627201855,0.6487181269245846,0.7507665884233811,0.7863055305696233,0.8004388170974698,0.8119825243154339,0.8233025412590905,0.8274992482607899,0.8327367035601437,0.8329757638999118,0.8362302327416437,0.835513142313866,0.8372037840699029,0.8402690793799671,0.8406938161081026,0.8418621129676351,0.8412693196603444,0.8392905505156218,0.8463537982200722,0.8383608570690338,0.8379876166615773,0.8394814894484395,0.8470259289144391,0.8470027924798524,0.8439440498917319
k = 37,0.2702170267536764,0.646091823509843,0.7503248499215665,0.7845542298469804,0.8048170166883655,0.8077346895926022,0.8189209901575392,0.81970400573103,0.8300075422493478,0.8307706877562688,0.8371826451296618,0.8379982639874985,0.8377456111547754,0.8409717385311442,0.8421930477213948,0.8459195484241135,0.8389078589756662,0.8388368174622828,0.8434064113667,0.84274450827547,0.8459079693347054,0.8427138717798581,0.8455698174447516,0.8415107641064982,0.8392904241258332
k = 39,0.2715260251172521,0.6468250443951261,0.7489800562163024,0.7854175232579339,0.8040476989164527,0.8100851980635759,0.8209393865640537,0.8277968563270367,0.8260085797463649,0.8312136759574894,0.8321115625389686,0.832350388383432,0.8392890515620037,0.844824020435597,0.8411716376266541,0.8447955680541614,0.8395539823800288,0.8368172143484183,0.8410676080128512,0.8415219352219809,0.8432731124568438,0.851180330430618,0.8388103893727376,0.8411428887232753,0.844527305926037
k = 41,0.269426260227045,0.645982913030436,0.7484171970804365,0.7795026949165584,0.7986608255485423,0.8143103205489011,0.8201931161691245,0.8228073419927477,0.8301212168434354,0.8318324478064497,0.8354874822085279,0.8350042546835617,0.8336976276448567,0.8382935794156078,0.8355968614148341,0.8424607671986886,0.8392062572636032,0.8372157400749008,0.8376249503827566,0.841649724136564,0.8437714602006311,0.840999848711651,0.8470333496120122,0.844944173386412,0.8447022233053527
