idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 25,0.27873333333333333,0.6558,0.7558666666666667,0.7884666666666666,0.8026,0.8198,0.8254666666666667,0.8322,0.8402,0.8344666666666667,0.8454,0.846,0.8379333333333333,0.8459333333333333,0.8464666666666667,0.8430666666666666,0.8474666666666667,0.8484666666666667,0.8505333333333334,0.849,0.8492,0.8529333333333333,0.8492666666666666,0.8468,0.8509333333333333
k = 27,0.2796666666666667,0.6544666666666666,0.7516,0.7863333333333333,0.8050666666666667,0.8207333333333333,0.8254666666666667,0.8281333333333334,0.8325333333333333,0.8366,0.8372666666666667,0.8438,0.8404666666666667,0.843,0.8442,0.8441333333333333,0.8448,0.8424666666666667,0.8433333333333334,0.847,0.847,0.8506666666666667,0.8482666666666666,0.8447333333333333,0.8469333333333333
k = 29,0.29006666666666664,0.6516,0.7494666666666666,0.7783333333333333,0.8086666666666666,0.8222,0.8202,0.8302,0.8348666666666666,0.8360666666666666,0.8398,0.8428,0.8404666666666667,0.8418666666666667,0.8470666666666666,0.8440666666666666,0.8453333333333334,0.8434666666666667,0.8492,0.8441333333333333,0.8416,0.8458,0.85,0.8426,0.8512666666666666
k = 31,0.2850666666666667,0.6536,0.7498,0.7892,0.8042,0.8188666666666666,0.8274,0.8324666666666667,0.8345333333333333,0.8376,0.8476,0.8401333333333333,0.8392,0.8468666666666667,0.8439333333333333,0.846,0.8475333333333334,0.85,0.8416,0.8486666666666667,0.8442666666666667,0.8484,0.8446,0.8491333333333333,0.8438
k = 33,0.2855333333333333,0.6564666666666666,0.7519333333333333,0.7857333333333333,0.8034666666666667,0.8144666666666667,0.8186666666666667,0.8266,0.8348,0.8349333333333333,0.8383333333333334,0.8413333333333334,0.8419333333333333,0.8448666666666667,0.8447333333333333,0.846,0.8469333333333333,0.8488,0.8444666666666667,0.8437333333333333,0.8503333333333334,0.8482666666666666,0.843,0.8449333333333333,0.8480666666666666
k = 35,0.2829333333333333,0.656,0.7522,0.7883333333333333,0.8029333333333334,0.8139333333333333,0.8240666666666666,0.83,0.8327333333333333,0.8346666666666667,0.8378,0.8368666666666666,0.8384666666666667,0.8416666666666667,0.8421333333333333,0.8434666666666667,0.8412,0.8412,0.8483333333333334,0.8392,0.8394666666666667,0.8411333333333333,0.8478,0.8471333333333333,0.8456
k = 37,0.29106666666666664,0.6560666666666667,0.7515333333333334,0.7846,0.8062,0.8108666666666666,0.8217333333333333,0.8215333333333333,0.8316,0.8309333333333333,0.8389333333333333,0.8404,0.839,0.843,0.8433333333333334,0.8468,0.8388666666666666,0.841,0.846,0.8424,0.8481333333333333,0.8436,0.8472,0.8433333333333334,0.8413333333333334
k = 39,0.2922,0.6558,0.752,0.7876666666666666,0.8042666666666667,0.8119333333333333,0.8232666666666667,0.8297333333333333,0.8280666666666666,0.8326666666666667,0.8328,0.8328666666666666,0.8401333333333333,0.8460666666666666,0.843,0.8476666666666667,0.8403333333333334,0.8396,0.8413333333333334,0.8421333333333333,0.8447333333333333,0.8516666666666667,0.8394,0.8413333333333334,0.8450666666666666
k = 41,0.291,0.6526666666666666,0.7499333333333333,0.7788666666666667,0.7992666666666667,0.8162666666666667,0.8220666666666666,0.8235333333333333,0.8318666666666666,0.8338,0.8367333333333333,0.8379333333333333,0.8344666666666667,0.8382,0.8370666666666666,0.8431333333333333,0.8398666666666667,0.8372,0.8377333333333333,0.8426,0.8442,0.8410666666666666,0.8483333333333334,0.847,0.846
k = 43,0.2909333333333333,0.6551333333333333,0.7487333333333334,0.7864666666666666,0.7950666666666667,0.8099333333333333,0.8236666666666667,0.8311333333333333,0.827,0.8343333333333334,0.8348,0.8354,0.8365333333333334,0.8373333333333334,0.8382,0.8425333333333334,0.8416666666666667,0.8412,0.8440666666666666,0.8402666666666667,0.8466,0.8397333333333333,0.8418,0.8400666666666666,0.8408666666666667
k = 45,0.2830666666666667,0.6506,0.7479333333333333,0.7835333333333333,0.8002666666666667,0.8158,0.8192666666666667,0.8258,0.8239333333333333,0.8363333333333334,0.8296,0.8358,0.8362666666666667,0.8383333333333334,0.8451333333333333,0.8402666666666667,0.8378,0.8417333333333333,0.8372,0.8418,0.843,0.8473333333333334,0.8405333333333334,0.8433333333333334,0.8436666666666667
k = 47,0.2952666666666667,0.6528,0.7505333333333334,0.7803333333333333,0.7954666666666667,0.813,0.8241333333333334,0.8211333333333334,0.8293333333333334,0.8318666666666666,0.8378666666666666,0.8409333333333333,0.8393333333333334,0.8393333333333334,0.8404,0.8368,0.8378,0.8377333333333333,0.8431333333333333,0.8448,0.8384,0.8394,0.8388,0.8385333333333334,0.8431333333333333
k = 49,0.2906666666666667,0.6569333333333334,0.7458,0.7760666666666667,0.7994666666666667,0.8082,0.8199333333333333,0.8208666666666666,0.8217333333333333,0.83,0.8346666666666667,0.8368666666666666,0.8297333333333333,0.8381333333333333,0.8354666666666667,0.8373333333333334,0.8318,0.8442,0.8416,0.8413333333333334,0.8424,0.8368,0.8492,0.8437333333333333,0.8474
