idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 21,0.2737455228595801,0.6479383111510326,0.7509895143197197,0.7852706222983364,0.8059906109136412,0.8201725552761661,0.8261318082332412,0.8334916061622835,0.8391713103306537,0.8409823068753293,0.840179460505276,0.8454709534600406,0.8433976358158924,0.8465307984603822,0.8495444866186078,0.8465876812468641,0.8518787359047362,0.8525593142089839,0.8487400715561184,0.8467024768306979,0.8508153932380049,0.8536156553126247,0.8534369304674525,0.8537497282968805,0.8548227773769745
k = 23,0.27949857819398594,0.6509208552087904,0.7530211926532668,0.7809920171216598,0.8014181446662318,0.8222520975859127,0.8239001003258378,0.8319068336685405,0.8386198375161813,0.842490723740554,0.8483823438138938,0.8403978768540925,0.8481307309276745,0.841255713318659,0.8519194729857323,0.8447041764509556,0.8508167443912666,0.8507477232430608,0.8455010987884369,0.8459026620476298,0.8507530334000103,0.8469131293551768,0.8542033974748904,0.8525215204144747,0.8476478945634188
k = 25,0.27877877237108584,0.6548056826392438,0.7562032940841021,0.7882074357007748,0.8015803765049192,0.8190327980446777,0.8260996314811241,0.8313670309973661,0.8395492363335443,0.8335074895834442,0.8462304967046433,0.844975945492528,0.8380519791693365,0.8442982933643585,0.8477287868307556,0.8439595166852107,0.8475701499767911,0.8503860049424459,0.8514033586930043,0.8495315465671857,0.8494878657880367,0.8524965841813856,0.8503544524674223,0.8458282177878571,0.8501915559329329
k = 27,0.2790677681144839,0.6553510815442829,0.7530088215855291,0.7859683840853042,0.8067373874329025,0.8195408163668004,0.826672517559557,0.8274212404585677,0.8319337276115342,0.8367733362688471,0.8371569208519858,0.8435753099635284,0.8415849405861703,0.8417365880220968,0.8441869181834193,0.8432999412532629,0.845288132244135,0.8423667406614515,0.8416804593241058,0.8462526277055906,0.8474882092186811,0.8508158745760586,0.84972562423402,0.844413056179604,0.8467534232755284
k = 29,0.2893701565657972,0.6523670657778513,0.7494517596489795,0.7802074355949806,0.8069080002285803,0.8216153473471186,0.8208269427646323,0.8313324846139416,0.8347335692350146,0.8368231983249782,0.8403640622246173,0.8421728723433158,0.8415275507217549,0.8410234607178927,0.8473025473107834,0.8436627047623299,0.8451878686447545,0.8440128202990216,0.8487062670483171,0.8439964554368531,0.8403082829750297,0.8467916886802282,0.8489219889523852,0.8425734099972144,0.8505950132762445
k = 31,0.2839837387128903,0.651675410139385,0.7497722530843337,0.7888275187725358,0.8050913359390321,0.8177178714655806,0.8278298192544902,0.8326536543395566,0.8343738899012502,0.8375377935537752,0.847258900600169,0.8393154978939181,0.839297503607531,0.8455869705963414,0.8440226292299812,0.8453985562860927,0.8474266342706385,0.8500255133670761,0.8423700594243035,0.8470697083102727,0.845208425801472,0.8501995710606399,0.8450103145443311,0.8499520616523834,0.84455825429558
k = 33,0.28359043524762306,0.6575271089165753,0.7521020929178917,0.7852852808644868,0.8021733910597584,0.8133811050058771,0.8186289242473311,0.8273836605338569,0.8345360388339177,0.8339446048874912,0.8391864069979171,0.8413246813904918,0.841518350895264,0.8453213485754686,0.8441335760802303,0.8443204886117555,0.8461821563158857,0.8487505935275671,0.8445623316263179,0.8445145787305396,0.8499877751098399,0.8473230478724336,0.8443728843526251,0.8446445026757277,0.8479619720119722
k = 35,0.2843995335126389,0.6558306876991643,0.7531978155598923,0.7881715363727505,0.8012159259553616,0.8131727388939861,0.8248624378704635,0.8288315941451483,0.8341077377029619,0.8353405069652078,0.8376496687483975,0.8371580446163961,0.8381426237713928,0.8416213925494352,0.8419718878968474,0.8429166157376404,0.8427061078972219,0.8398846687157444,0.8475104252336185,0.839233713849457,0.8397689849752498,0.8408522848765905,0.8480512615002915,0.8479644985949044,0.8447609757205342
k = 37,0.2935899396311219,0.6527958638511866,0.7524323441236017,0.7862966574979571,0.8065613910224876,0.8093529385253777,0.8205420433162832,0.8216390217493854,0.8319799513706208,0.8322691077631029,0.8385611429908029,0.8395542101391411,0.8390259311952025,0.8424918166925724,0.8430419208456847,0.847504020541761,0.8396768125017895,0.8398304975799211,0.8439803067740732,0.8439866696659607,0.8467351795211805,0.8435398453096978,0.8460826745539833,0.8436789208307468,0.8402762066332812
k = 39,0.29280614723342335,0.6553175192839723,0.7516793593878985,0.7873557776337413,0.8059174877242563,0.811634348045853,0.8218088622286231,0.8291926919527338,0.827220615305914,0.833136252930955,0.8346427080205217,0.8336109554611377,0.8406623337282996,0.8457819506021552,0.8425147242375166,0.8459494508831288,0.8403716324747282,0.8372349217739753,0.8425496825701508,0.8427636563180888,0.8442273251492107,0.851849100460041,0.8400030185393197,0.8420978468848451,0.8453572016991021
k = 41,0.2904190081623768,0.654937378207882,0.7508256074151285,0.7815159255594695,0.7999357370779052,0.8159890416232362,0.8216112628912654,0.8246789688064853,0.8321754899678655,0.8335457248830433,0.8368991792726235,0.8362695898305166,0.8348394046905895,0.8397041706434768,0.837692307225757,0.8438250311870454,0.8404279809467734,0.8392662776132838,0.838992948371881,0.8419598585145573,0.8443434335128751,0.8423377611422929,0.8477286903986763,0.8464210542673506,0.8456406493485336
k = 43,0.2905800990232968,0.6551165654695754,0.74752369309616,0.7868657779088631,0.795757624356151,0.8111173169167776,0.822160950592537,0.8285545367892301,0.8263675520797777,0.8338292013340741,0.8349011323713619,0.8364051243734059,0.8368865088972495,0.837212003568038,0.8375069392694687,0.8427608535427387,0.841226277877363,0.8415308783922194,0.8445502400224978,0.8393804775570972,0.8469889743299495,0.8401395555299102,0.8422979457037478,0.8396476902070171,0.8417641882064812
k = 45,0.283400957269733,0.6521961754430938,0.7479258836914437,0.7834503764739644,0.7999127744931915,0.8157972905676896,0.8180556263052761,0.8256324873680476,0.8257344773275092,0.836847553971934,0.8303644004089679,0.8360107848444447,0.8374842883201588,0.8368403438056211,0.8439244737074914,0.8397726825600051,0.8375343509629751,0.8428494667984768,0.836708323127519,0.8416596787569114,0.8407163906198004,0.8457732843182569,0.8407331373888945,0.8444752673421798,0.8441708044404341
k = 47,0.2951291516022502,0.6547903269434607,0.7501554440304851,0.7819225019042232,0.7967513682433199,0.8126827934674529,0.8241129067578912,0.821959107438078,0.8277821930598505,0.8307458419913063,0.8376024593761592,0.8407861192227019,0.8380805460149047,0.837786620699276,0.840302124604424,0.837274862445198,0.8397676836656315,0.839452775597012,0.8428278249746896,0.8442168655262178,0.8383012167776155,0.8403251745201704,0.8389119177231121,0.8384169169402022,0.8442828998952085
k = 49,0.28889365219603963,0.6583956916481135,0.744263636326861,0.7758258904039286,0.799771731654938,0.8092402266246932,0.8197880093639365,0.8210943460170969,0.8224349687324027,0.8295906727398614,0.8344187124087459,0.8367494580376343,0.8301064494848361,0.8389683373243985,0.8363224656193905,0.8372237283151088,0.832578505975359,0.8441502716157455,0.8402046830280028,0.8403972414814487,0.8426549150926995,0.8369824523805306,0.8491064115845903,0.843738911848088,0.8461651679212894
